10.12487584	22649.173 	
10.39365388	14368.507 	
10.84803868	13979.802 	
11.13410972	7726.021 	
11.49652882	7212.011 	
12.58144756	3721.040 	
13.01254638	13238.473 	
13.5288001	562.466 	
13.90172215	794.148 	
14.26978532	476.759 	
14.97484304	496.992 	
15.62362672	356.984 	
16.12225214	202.812 	
17.08836982	116.835 	
17.92257369	77.257 	
19.20136859	45.126 	
20.68818606	33.787 	
22.77371276	26.368 	
24.67095338	21.153 	
26.29779145	15.620 	
28.64054283	12.190 	
32.03975142	9.916 	
35.08431251	8.291 	
39.46233043	7.226 	
42.31055914	7.851 	
43.68329977	6.747 	
46.32476017	5.879 	
51.83257351	5.566 	
66.29501487	4.989 	
140.2437338	4.480 	
189.2802961	4.806 	
346.719285	6.707 	
483.3725698	9.222 	
684.8412318	13.401 	
867.0296167	17.920 	
1215.574275	30.726 	
